w,g1,f1
100,18.895,-75.113
100.01,18.894,-75.11
100.01,18.892,-75.106
100.02,18.891,-75.103
100.03,18.89,-75.1
100.03,18.888,-75.096
100.04,18.887,-75.093
100.05,18.885,-75.09
100.06,18.884,-75.086
100.06,18.883,-75.083
100.07,18.881,-75.08
100.08,18.88,-75.076
100.08,18.878,-75.073
100.09,18.877,-75.07
100.1,18.876,-75.066
100.1,18.874,-75.063
100.11,18.873,-75.06
100.12,18.871,-75.056
100.12,18.87,-75.053
100.13,18.869,-75.05
100.14,18.867,-75.046
100.15,18.866,-75.043
100.15,18.864,-75.04
100.16,18.863,-75.036
100.17,18.862,-75.033
100.17,18.86,-75.03
100.18,18.859,-75.026
100.19,18.857,-75.023
100.19,18.856,-75.02
100.2,18.855,-75.016
100.21,18.853,-75.013
100.21,18.852,-75.01
100.22,18.85,-75.006
100.23,18.849,-75.003
100.24,18.848,-75
100.24,18.846,-74.996
100.25,18.845,-74.993
100.26,18.843,-74.99
100.26,18.842,-74.986
100.27,18.841,-74.983
100.28,18.839,-74.98
100.28,18.838,-74.976
100.29,18.836,-74.973
100.3,18.835,-74.97
100.3,18.834,-74.966
100.31,18.832,-74.963
100.32,18.831,-74.96
100.33,18.829,-74.956
100.33,18.828,-74.953
100.34,18.827,-74.95
100.35,18.825,-74.946
100.35,18.824,-74.943
100.36,18.822,-74.94
100.37,18.821,-74.936
100.37,18.82,-74.933
100.38,18.818,-74.93
100.39,18.817,-74.926
100.39,18.815,-74.923
100.4,18.814,-74.92
100.41,18.813,-74.916
100.42,18.811,-74.913
100.42,18.81,-74.91
100.43,18.808,-74.906
100.44,18.807,-74.903
100.44,18.806,-74.9
100.45,18.804,-74.896
100.46,18.803,-74.893
100.46,18.801,-74.89
100.47,18.8,-74.886
100.48,18.799,-74.883
100.48,18.797,-74.88
100.49,18.796,-74.876
100.5,18.794,-74.873
100.51,18.793,-74.87
100.51,18.792,-74.866
100.52,18.79,-74.863
100.53,18.789,-74.86
100.53,18.787,-74.856
100.54,18.786,-74.853
100.55,18.785,-74.849
100.55,18.783,-74.846
100.56,18.782,-74.843
100.57,18.78,-74.839
100.57,18.779,-74.836
100.58,18.778,-74.833
100.59,18.776,-74.829
100.6,18.775,-74.826
100.6,18.773,-74.823
100.61,18.772,-74.819
100.62,18.771,-74.816
100.62,18.769,-74.813
100.63,18.768,-74.809
100.64,18.767,-74.806
100.64,18.765,-74.803
100.65,18.764,-74.799
100.66,18.762,-74.796
100.67,18.761,-74.793
100.67,18.76,-74.789
100.68,18.758,-74.786
100.69,18.757,-74.783
100.69,18.755,-74.779
100.7,18.754,-74.776
100.71,18.753,-74.773
100.71,18.751,-74.769
100.72,18.75,-74.766
100.73,18.748,-74.762
100.73,18.747,-74.759
100.74,18.746,-74.756
100.75,18.744,-74.752
100.76,18.743,-74.749
100.76,18.741,-74.746
100.77,18.74,-74.742
100.78,18.739,-74.739
100.78,18.737,-74.736
100.79,18.736,-74.732
100.8,18.735,-74.729
100.8,18.733,-74.726
100.81,18.732,-74.722
100.82,18.73,-74.719
100.83,18.729,-74.716
100.83,18.728,-74.712
100.84,18.726,-74.709
100.85,18.725,-74.705
100.85,18.723,-74.702
100.86,18.722,-74.699
100.87,18.721,-74.695
100.87,18.719,-74.692
100.88,18.718,-74.689
100.89,18.717,-74.685
100.9,18.715,-74.682
100.9,18.714,-74.679
100.91,18.712,-74.675
100.92,18.711,-74.672
100.92,18.71,-74.669
100.93,18.708,-74.665
100.94,18.707,-74.662
100.94,18.705,-74.659
100.95,18.704,-74.655
100.96,18.703,-74.652
100.96,18.701,-74.648
100.97,18.7,-74.645
100.98,18.699,-74.642
100.99,18.697,-74.638
100.99,18.696,-74.635
101,18.694,-74.632
101.01,18.693,-74.628
101.01,18.692,-74.625
101.02,18.69,-74.622
101.03,18.689,-74.618
101.03,18.687,-74.615
101.04,18.686,-74.612
101.05,18.685,-74.608
101.06,18.683,-74.605
101.06,18.682,-74.601
101.07,18.681,-74.598
101.08,18.679,-74.595
101.08,18.678,-74.591
101.09,18.676,-74.588
101.1,18.675,-74.585
101.1,18.674,-74.581
101.11,18.672,-74.578
101.12,18.671,-74.575
101.13,18.669,-74.571
101.13,18.668,-74.568
101.14,18.667,-74.564
101.15,18.665,-74.561
101.15,18.664,-74.558
101.16,18.663,-74.554
101.17,18.661,-74.551
101.17,18.66,-74.548
101.18,18.658,-74.544
101.19,18.657,-74.541
101.2,18.656,-74.538
101.2,18.654,-74.534
101.21,18.653,-74.531
101.22,18.652,-74.527
101.22,18.65,-74.524
101.23,18.649,-74.521
101.24,18.647,-74.517
101.24,18.646,-74.514
101.25,18.645,-74.511
101.26,18.643,-74.507
101.27,18.642,-74.504
101.27,18.641,-74.501
101.28,18.639,-74.497
101.29,18.638,-74.494
101.29,18.636,-74.49
101.3,18.635,-74.487
101.31,18.634,-74.484
101.31,18.632,-74.48
101.32,18.631,-74.477
101.33,18.63,-74.474
101.34,18.628,-74.47
101.34,18.627,-74.467
101.35,18.625,-74.464
101.36,18.624,-74.46
101.36,18.623,-74.457
101.37,18.621,-74.453
101.38,18.62,-74.45
101.38,18.619,-74.447
101.39,18.617,-74.443
101.4,18.616,-74.44
101.41,18.614,-74.437
101.41,18.613,-74.433
101.42,18.612,-74.43
101.43,18.61,-74.426
101.43,18.609,-74.423
101.44,18.608,-74.42
101.45,18.606,-74.416
101.45,18.605,-74.413
101.46,18.603,-74.41
101.47,18.602,-74.406
101.48,18.601,-74.403
101.48,18.599,-74.4
101.49,18.598,-74.396
101.5,18.597,-74.393
101.5,18.595,-74.389
101.51,18.594,-74.386
101.52,18.592,-74.383
101.52,18.591,-74.379
101.53,18.59,-74.376
101.54,18.588,-74.373
101.55,18.587,-74.369
101.55,18.586,-74.366
101.56,18.584,-74.362
101.57,18.583,-74.359
101.57,18.582,-74.356
101.58,18.58,-74.352
101.59,18.579,-74.349
101.59,18.577,-74.346
101.6,18.576,-74.342
101.61,18.575,-74.339
101.62,18.573,-74.335
101.62,18.572,-74.332
101.63,18.571,-74.329
101.64,18.569,-74.325
101.64,18.568,-74.322
101.65,18.566,-74.319
101.66,18.565,-74.315
101.66,18.564,-74.312
101.67,18.562,-74.308
101.68,18.561,-74.305
101.69,18.56,-74.302
101.69,18.558,-74.298
101.7,18.557,-74.295
101.71,18.556,-74.292
101.71,18.554,-74.288
101.72,18.553,-74.285
101.73,18.551,-74.281
101.73,18.55,-74.278
101.74,18.549,-74.275
101.75,18.547,-74.271
101.76,18.546,-74.268
101.76,18.545,-74.264
101.77,18.543,-74.261
101.78,18.542,-74.258
101.78,18.541,-74.254
101.79,18.539,-74.251
101.8,18.538,-74.248
101.81,18.536,-74.244
101.81,18.535,-74.241
101.82,18.534,-74.237
101.83,18.532,-74.234
101.83,18.531,-74.231
101.84,18.53,-74.227
101.85,18.528,-74.224
101.85,18.527,-74.221
101.86,18.526,-74.217
101.87,18.524,-74.214
101.88,18.523,-74.21
101.88,18.521,-74.207
101.89,18.52,-74.204
101.9,18.519,-74.2
101.9,18.517,-74.197
101.91,18.516,-74.193
101.92,18.515,-74.19
101.92,18.513,-74.187
101.93,18.512,-74.183
101.94,18.511,-74.18
101.95,18.509,-74.177
101.95,18.508,-74.173
101.96,18.507,-74.17
101.97,18.505,-74.166
101.97,18.504,-74.163
101.98,18.502,-74.16
101.99,18.501,-74.156
102,18.5,-74.153
102,18.498,-74.149
102.01,18.497,-74.146
102.02,18.496,-74.143
102.02,18.494,-74.139
102.03,18.493,-74.136
102.04,18.492,-74.133
102.04,18.49,-74.129
102.05,18.489,-74.126
102.06,18.488,-74.122
102.07,18.486,-74.119
102.07,18.485,-74.116
102.08,18.483,-74.112
102.09,18.482,-74.109
102.09,18.481,-74.105
102.1,18.479,-74.102
102.11,18.478,-74.099
102.12,18.477,-74.095
102.12,18.475,-74.092
102.13,18.474,-74.088
102.14,18.473,-74.085
102.14,18.471,-74.082
102.15,18.47,-74.078
102.16,18.469,-74.075
102.16,18.467,-74.072
102.17,18.466,-74.068
102.18,18.464,-74.065
102.19,18.463,-74.061
102.19,18.462,-74.058
102.2,18.46,-74.055
102.21,18.459,-74.051
102.21,18.458,-74.048
