w,g1,f1
100,18.956,-75.243
100.01,18.954,-75.24
100.01,18.953,-75.236
100.02,18.952,-75.233
100.03,18.95,-75.23
100.03,18.949,-75.226
100.04,18.947,-75.223
100.05,18.946,-75.22
100.06,18.944,-75.216
100.06,18.943,-75.213
100.07,18.942,-75.21
100.08,18.94,-75.206
100.08,18.939,-75.203
100.09,18.937,-75.2
100.1,18.936,-75.196
100.1,18.935,-75.193
100.11,18.933,-75.19
100.12,18.932,-75.187
100.12,18.93,-75.183
100.13,18.929,-75.18
100.14,18.927,-75.177
100.15,18.926,-75.173
100.15,18.925,-75.17
100.16,18.923,-75.167
100.17,18.922,-75.163
100.17,18.92,-75.16
100.18,18.919,-75.157
100.19,18.918,-75.153
100.19,18.916,-75.15
100.2,18.915,-75.147
100.21,18.913,-75.143
100.21,18.912,-75.14
100.22,18.911,-75.137
100.23,18.909,-75.133
100.24,18.908,-75.13
100.24,18.906,-75.127
100.25,18.905,-75.124
100.26,18.904,-75.12
100.26,18.902,-75.117
100.27,18.901,-75.114
100.28,18.899,-75.11
100.28,18.898,-75.107
100.29,18.896,-75.104
100.3,18.895,-75.1
100.3,18.894,-75.097
100.31,18.892,-75.094
100.32,18.891,-75.09
100.33,18.889,-75.087
100.33,18.888,-75.084
100.34,18.887,-75.08
100.35,18.885,-75.077
100.35,18.884,-75.074
100.36,18.882,-75.07
100.37,18.881,-75.067
100.37,18.88,-75.064
100.38,18.878,-75.06
100.39,18.877,-75.057
100.39,18.875,-75.054
100.4,18.874,-75.05
100.41,18.873,-75.047
100.42,18.871,-75.044
100.42,18.87,-75.041
100.43,18.868,-75.037
100.44,18.867,-75.034
100.44,18.866,-75.031
100.45,18.864,-75.027
100.46,18.863,-75.024
100.46,18.861,-75.021
100.47,18.86,-75.017
100.48,18.859,-75.014
100.48,18.857,-75.011
100.49,18.856,-75.007
100.5,18.854,-75.004
100.51,18.853,-75.001
100.51,18.852,-74.997
100.52,18.85,-74.994
100.53,18.849,-74.991
100.53,18.847,-74.987
100.54,18.846,-74.984
100.55,18.845,-74.981
100.55,18.843,-74.977
100.56,18.842,-74.974
100.57,18.84,-74.971
100.57,18.839,-74.967
100.58,18.838,-74.964
100.59,18.836,-74.961
100.6,18.835,-74.957
100.6,18.833,-74.954
100.61,18.832,-74.951
100.62,18.831,-74.947
100.62,18.829,-74.944
100.63,18.828,-74.941
100.64,18.826,-74.937
100.64,18.825,-74.934
100.65,18.824,-74.931
100.66,18.822,-74.927
100.67,18.821,-74.924
100.67,18.819,-74.921
100.68,18.818,-74.917
100.69,18.817,-74.914
100.69,18.815,-74.911
100.7,18.814,-74.907
100.71,18.812,-74.904
100.71,18.811,-74.901
100.72,18.81,-74.897
100.73,18.808,-74.894
100.73,18.807,-74.891
100.74,18.805,-74.887
100.75,18.804,-74.884
100.76,18.803,-74.881
100.76,18.801,-74.877
100.77,18.8,-74.874
100.78,18.798,-74.871
100.78,18.797,-74.867
100.79,18.796,-74.864
100.8,18.794,-74.861
100.8,18.793,-74.857
100.81,18.791,-74.854
100.82,18.79,-74.851
100.83,18.789,-74.847
100.83,18.787,-74.844
100.84,18.786,-74.841
100.85,18.784,-74.837
100.85,18.783,-74.834
100.86,18.782,-74.831
100.87,18.78,-74.827
100.87,18.779,-74.824
100.88,18.777,-74.821
100.89,18.776,-74.817
100.9,18.775,-74.814
100.9,18.773,-74.811
100.91,18.772,-74.807
100.92,18.771,-74.804
100.92,18.769,-74.801
100.93,18.768,-74.797
100.94,18.766,-74.794
100.94,18.765,-74.791
100.95,18.764,-74.787
100.96,18.762,-74.784
100.96,18.761,-74.781
100.97,18.759,-74.777
100.98,18.758,-74.774
100.99,18.757,-74.771
100.99,18.755,-74.767
101,18.754,-74.764
101.01,18.752,-74.761
101.01,18.751,-74.757
101.02,18.75,-74.754
101.03,18.748,-74.751
101.03,18.747,-74.747
101.04,18.745,-74.744
101.05,18.744,-74.741
101.06,18.743,-74.737
101.06,18.741,-74.734
101.07,18.74,-74.731
101.08,18.739,-74.727
101.08,18.737,-74.724
101.09,18.736,-74.721
101.1,18.734,-74.717
101.1,18.733,-74.714
101.11,18.732,-74.711
101.12,18.73,-74.707
101.13,18.729,-74.704
101.13,18.727,-74.701
101.14,18.726,-74.697
101.15,18.725,-74.694
101.15,18.723,-74.691
101.16,18.722,-74.687
101.17,18.721,-74.684
101.17,18.719,-74.68
101.18,18.718,-74.677
101.19,18.716,-74.674
101.2,18.715,-74.67
101.2,18.714,-74.667
101.21,18.712,-74.664
101.22,18.711,-74.66
101.22,18.709,-74.657
101.23,18.708,-74.654
101.24,18.707,-74.65
101.24,18.705,-74.647
101.25,18.704,-74.644
101.26,18.703,-74.64
101.27,18.701,-74.637
101.27,18.7,-74.634
101.28,18.698,-74.63
101.29,18.697,-74.627
101.29,18.696,-74.624
101.3,18.694,-74.62
101.31,18.693,-74.617
101.31,18.691,-74.614
101.32,18.69,-74.61
101.33,18.689,-74.607
101.34,18.687,-74.604
101.34,18.686,-74.6
101.35,18.685,-74.597
101.36,18.683,-74.593
101.36,18.682,-74.59
101.37,18.68,-74.587
101.38,18.679,-74.583
101.38,18.678,-74.58
101.39,18.676,-74.577
101.4,18.675,-74.573
101.41,18.674,-74.57
101.41,18.672,-74.567
101.42,18.671,-74.563
101.43,18.669,-74.56
101.43,18.668,-74.557
101.44,18.667,-74.553
101.45,18.665,-74.55
101.45,18.664,-74.547
101.46,18.662,-74.543
101.47,18.661,-74.54
101.48,18.66,-74.536
101.48,18.658,-74.533
101.49,18.657,-74.53
101.5,18.656,-74.526
101.5,18.654,-74.523
101.51,18.653,-74.52
101.52,18.651,-74.516
101.52,18.65,-74.513
101.53,18.649,-74.51
101.54,18.647,-74.506
101.55,18.646,-74.503
101.55,18.645,-74.5
101.56,18.643,-74.496
101.57,18.642,-74.493
101.57,18.64,-74.49
101.58,18.639,-74.486
101.59,18.638,-74.483
101.59,18.636,-74.479
101.6,18.635,-74.476
101.61,18.634,-74.473
101.62,18.632,-74.469
101.62,18.631,-74.466
101.63,18.629,-74.463
101.64,18.628,-74.459
101.64,18.627,-74.456
101.65,18.625,-74.453
101.66,18.624,-74.449
101.66,18.623,-74.446
101.67,18.621,-74.443
101.68,18.62,-74.439
101.69,18.618,-74.436
101.69,18.617,-74.432
101.7,18.616,-74.429
101.71,18.614,-74.426
101.71,18.613,-74.422
101.72,18.612,-74.419
101.73,18.61,-74.416
101.73,18.609,-74.412
101.74,18.608,-74.409
101.75,18.606,-74.406
101.76,18.605,-74.402
101.76,18.603,-74.399
101.77,18.602,-74.395
101.78,18.601,-74.392
101.78,18.599,-74.389
101.79,18.598,-74.385
101.8,18.597,-74.382
101.81,18.595,-74.379
101.81,18.594,-74.375
101.82,18.592,-74.372
101.83,18.591,-74.369
101.83,18.59,-74.365
101.84,18.588,-74.362
101.85,18.587,-74.358
101.85,18.586,-74.355
101.86,18.584,-74.352
101.87,18.583,-74.348
101.88,18.581,-74.345
101.88,18.58,-74.342
101.89,18.579,-74.338
101.9,18.577,-74.335
101.9,18.576,-74.332
101.91,18.575,-74.328
101.92,18.573,-74.325
101.92,18.572,-74.321
101.93,18.571,-74.318
101.94,18.569,-74.315
101.95,18.568,-74.311
101.95,18.566,-74.308
101.96,18.565,-74.305
101.97,18.564,-74.301
101.97,18.562,-74.298
101.98,18.561,-74.295
101.99,18.56,-74.291
102,18.558,-74.288
102,18.557,-74.284
102.01,18.556,-74.281
102.02,18.554,-74.278
102.02,18.553,-74.274
102.03,18.551,-74.271
102.04,18.55,-74.268
102.04,18.549,-74.264
102.05,18.547,-74.261
102.06,18.546,-74.257
102.07,18.545,-74.254
102.07,18.543,-74.251
102.08,18.542,-74.247
102.09,18.541,-74.244
102.09,18.539,-74.241
102.1,18.538,-74.237
102.11,18.536,-74.234
102.12,18.535,-74.231
102.12,18.534,-74.227
102.13,18.532,-74.224
102.14,18.531,-74.22
102.14,18.53,-74.217
102.15,18.528,-74.214
102.16,18.527,-74.21
102.16,18.526,-74.207
102.17,18.524,-74.204
102.18,18.523,-74.2
102.19,18.521,-74.197
102.19,18.52,-74.193
102.2,18.519,-74.19
102.21,18.517,-74.187
102.21,18.516,-74.183
102.22,18.515,-74.18
102.23,18.513,-74.177
102.24,18.512,-74.173
102.24,18.511,-74.17
102.25,18.509,-74.166
102.26,18.508,-74.163
102.26,18.507,-74.16
102.27,18.505,-74.156
102.28,18.504,-74.153
102.28,18.502,-74.15
102.29,18.501,-74.146
102.3,18.5,-74.143
102.31,18.498,-74.139
102.31,18.497,-74.136
102.32,18.496,-74.133
102.33,18.494,-74.129
102.33,18.493,-74.126
102.34,18.492,-74.123
102.35,18.49,-74.119
102.36,18.489,-74.116
102.36,18.488,-74.112
102.37,18.486,-74.109
102.38,18.485,-74.106
102.38,18.483,-74.102
102.39,18.482,-74.099
102.4,18.481,-74.096
102.4,18.479,-74.092
102.41,18.478,-74.089
102.42,18.477,-74.085
102.43,18.475,-74.082
102.43,18.474,-74.079
102.44,18.473,-74.075
102.45,18.471,-74.072
102.45,18.47,-74.068
102.46,18.469,-74.065
102.47,18.467,-74.062
