Time,IL1,IL2,Rede,Vbus11,Vpv,HIL0 digital input 19,HIL0 digital input 15,HIL0 digital input 18,HIL0 digital input 14,HIL0 digital input 28
0.0,-0.34032547,0.7180557,126.59886,428.7778,22.704428,1.0,1.0,0.0,0.0,1.0
1e-04,0.48451254,0.7620809,136.53912,429.06223,22.720428,1.0,1.0,0.0,0.0,1.0
0.0002,0.8821794,0.82600814,146.92375,429.34216,22.7362,1.0,1.0,0.0,0.0,1.0
0.0003,1.487036,0.88139933,157.71742,429.5234,22.751495,1.0,1.0,0.0,0.0,1.0
0.0004,1.5824362,0.94291025,168.66893,429.67044,22.766333,1.0,1.0,0.0,0.0,1.0
0.0005,2.3832064,0.9527244,179.38382,429.7641,22.780935,1.0,1.0,0.0,0.0,1.0
0.0006,2.6014605,1.0140452,189.4449,429.7239,22.794832,1.0,1.0,0.0,0.0,1.0
0.0007,2.8983414,1.0859679,198.54129,429.71384,22.808407,1.0,1.0,0.0,0.0,1.0
0.0008,3.2352197,1.1348745,206.56465,429.7022,22.821714,1.0,1.0,0.0,0.0,1.0
0.0009,3.7115676,1.1722592,213.64201,429.62793,22.834759,1.0,1.0,0.0,0.0,1.0
0.001,3.7329519,1.2455045,220.09576,429.5299,22.84746,1.0,1.0,0.0,0.0,1.0
0.0011,4.128872,1.2787718,226.34373,429.43695,22.85976,1.0,1.0,0.0,0.0,1.0
0.0012,4.690751,1.3011353,232.77142,429.23764,22.87159,1.0,1.0,0.0,0.0,1.0
0.0013,4.533697,1.3468901,239.61574,429.04428,22.882963,1.0,1.0,0.0,0.0,1.0
0.0014,5.1433196,1.345486,246.89583,428.7705,22.8941,1.0,1.0,0.0,0.0,1.0
0.0015,4.9782734,1.4267734,254.40976,428.34372,22.904987,1.0,0.0,0.0,0.0,1.0
0.0016,5.170943,1.4574081,261.7959,428.06677,22.915,0.0,0.0,0.0,0.0,1.0
0.0017,5.2752547,1.4874176,268.6369,427.56494,22.924183,0.0,0.0,1.0,0.0,1.0
0.0018,4.2115273,1.5138605,274.57224,427.21616,22.932743,0.0,0.0,1.0,0.0,1.0
0.0019,3.1966727,1.542087,279.38464,426.73138,22.940647,0.0,0.0,1.0,0.0,1.0
0.002,1.884741,1.5857538,283.03577,426.31186,22.948156,0.0,0.0,1.0,0.0,1.0
0.0021,0.6668481,1.6056511,285.64502,425.86002,22.955196,0.0,0.0,1.0,0.0,1.0
0.0022,-0.17673199,1.605584,287.4239,425.41507,22.96167,0.0,0.0,0.0,0.0,1.0
0.0023,-1.7050861,1.6427404,288.5938,424.90234,22.967724,0.0,1.0,0.0,0.0,1.0
0.0024,-0.9343359,1.6258469,289.31824,424.4781,22.973572,1.0,1.0,0.0,0.0,1.0
0.0025,-1.0707693,1.6603,289.67386,423.88504,22.979107,1.0,1.0,0.0,0.0,1.0
0.0026,-1.1851956,1.6860905,289.6697,423.45724,22.984322,1.0,1.0,0.0,0.0,1.0
0.0027,-0.54589844,1.6888449,289.30374,422.94302,22.98904,1.0,1.0,0.0,0.0,1.0
0.0028,-0.56090057,1.735283,288.63184,422.36005,22.993332,1.0,1.0,0.0,0.0,1.0
