Time,IL1,IL2,Rede,Vbus11
0.0,-2.6864672,0.5866432,105.17572,433.33633
1e-04,-4.247949,0.7118797,114.96748,433.74985
0.0002,-4.617686,0.74828005,124.627205,434.27698
0.0003,-3.31553,0.7825001,134.49318,434.64288
0.0004,-3.2019248,0.87296724,144.78317,434.97787
0.0005,-1.7557002,0.8733879,155.50813,435.31995
0.0006,-1.7492031,0.9867502,166.4568,435.37
0.0007,-1.1638871,1.0294205,177.2549,435.66522
0.0008,0.031377044,1.0605842,187.47896,435.64633
0.0009,-0.47107145,1.1757315,196.7871,435.69177
0.001,0.5390824,1.1788471,205.02489,435.7748
0.0011,0.809315,1.2610043,212.27266,435.57245
0.0012,0.964587,1.3062531,218.81984,435.6357
0.0013,1.8004566,1.3303761,225.07504,435.40598
0.0014,1.6339258,1.4076297,231.44073,435.2787
0.0015,2.468098,1.4038427,238.19156,435.11606
0.0016,2.4734495,1.465315,245.3932,434.70084
0.0017,2.7182117,1.5017298,252.88545,434.42233
0.0018,3.2435987,1.5255842,260.33145,433.9421
0.0019,3.0920641,1.5962266,267.31567,433.42758
0.002,3.674824,1.5858763,273.45767,433.0754
0.0021,3.605322,1.6167545,278.50644,432.44635
0.0022,3.9517996,1.6558324,282.38736,431.8517
0.0023,3.863874,1.7010537,285.1921,431.30487
0.0024,4.088703,1.7523919,287.12015,430.6626
0.0025,4.186124,1.7543808,288.3974,430.2116
0.0026,4.5463576,1.7382821,289.2029,429.55414
0.0027,4.767211,1.7620555,289.63092,428.86752
0.0028,4.9626822,1.773147,289.70044,428.27216
0.0029,5.1771383,1.771423,289.406,427.64264
0.003,3.4431808,1.7741162,288.78665,427.14096
0.0031,2.5972545,1.8002014,287.9815,426.38327
0.0032,0.76414543,1.8726857,287.2438,425.81592
0.0033,0.11460501,1.827886,286.89838,425.34393
0.0034,-0.83410954,1.7855343,287.2487,424.55695
0.0035,-1.2575299,1.7571545,288.45987,423.93253
0.0036,-0.891478,1.7540907,290.45633,423.16193
0.0037,-0.74263716,1.7388381,292.87372,422.53113
0.0038,-0.280631,1.6711566,295.09125,421.8657
0.0039,-0.13728774,1.6571132,296.34818,420.98187
0.004,-0.3606798,1.7027558,295.91956,420.1937
0.0041,-0.2676215,1.7392038,293.3074,419.60684
0.0042,-0.25348547,1.739857,288.39105,419.04813
0.0043,-0.15889913,1.6794608,281.49017,418.6611
0.0044,0.08785117,1.6174829,273.31366,418.1236
0.0045,-0.07165487,1.5702825,264.80026,417.8029
0.0046,0.39850333,1.4834889,256.88797,417.46536
0.0047,0.4500386,1.4461734,250.27214,417.03162
0.0048,0.8757787,1.4035492,245.21835,416.72018
0.0049,1.0178859,1.3703927,241.48369,416.37564
0.005,1.3395767,1.326136,238.37123,416.08087
0.0051,1.4866399,1.2727478,234.90685,415.82312
0.0052,1.783048,1.231509,230.09178,415.5455
0.0053,1.7790014,1.2081648,223.16382,415.42365
0.0054,2.2238643,1.1547899,213.79565,415.3484
0.0055,2.3104224,1.1334238,202.17664,415.34183
0.0056,2.6698658,1.0715803,188.95615,415.4744
0.0057,3.3152194,0.9918387,175.06538,415.58075
0.0058,3.673674,0.9391158,161.46849,415.73065
0.0059,4.255896,0.86696255,148.91267,415.922
0.006,4.812504,0.7888346,137.74664,416.11783
0.0061,5.4851537,0.7177403,127.85614,416.28384
0.0062,5.5844846,0.6964116,118.73126,416.47473
0.0063,4.3699737,0.6243879,109.642365,416.81506
0.0064,3.5912948,0.582685,99.87131,417.02277
0.0065,2.1444488,0.5446746,88.930016,417.37897
0.0066,1.8792069,0.42376658,76.703926,417.68814
0.0067,0.6744113,0.40923038,63.481285,417.97134
0.0068,-0.61915225,0.3522804,49.86338,418.35825
0.0069,-0.24301735,0.20237732,36.585464,418.6854
0.007,-1.9321938,0.20861909,24.303251,418.97775
0.0071,-2.2304296,0.10193911,13.408084,419.30264
0.0072,-2.460381,0.02153515,3.9235327,419.5843
0.0073,-3.8492846,0.0039769704,-4.489429,419.81885
0.0074,-3.787289,-0.099418305,-12.424298,420.08154
0.0075,-4.6399207,-0.123496406,-20.553524,420.3153
0.0076,-5.3573165,-0.15844981,-29.439577,420.5143
0.0077,-5.6866546,-0.23447728,-39.3883,420.72437
0.0078,-6.342761,-0.27520782,-50.38522,420.8956
0.0079,-6.603894,-0.3497879,-62.128986,421.0113
0.008,-5.8085556,-0.41451204,-74.146286,421.1937
0.0081,-5.1865954,-0.46543178,-85.9488,421.32803
0.0082,-4.5090585,-0.52761996,-97.18187,421.4008
0.0083,-3.4758239,-0.5923041,-107.71948,421.4807
0.0084,-3.1004996,-0.6156238,-117.67901,421.49463
0.0085,-2.0818293,-0.6918663,-127.355194,421.4512
0.0086,-1.3855909,-0.73919195,-137.09851,421.43436
0.0087,-0.47472793,-0.77429616,-147.17955,421.34515
0.0088,0.05304261,-0.80591655,-157.68405,421.16592
0.0089,1.3687747,-0.8751997,-168.47223,420.96112
0.009,2.0319908,-0.88259214,-179.2142,420.78543
0.0091,2.838776,-0.919839,-189.48924,420.40494
0.0092,3.5033815,-1.0035151,-198.91547,420.09213
0.0093,2.100313,-1.0001187,-207.26857,419.89404
0.0094,1.9823772,-1.0840982,-214.55121,419.40182
0.0095,1.7718238,-1.1193725,-220.99187,419.20453
0.0096,0.87383246,-1.1114913,-226.9741,418.77698
0.0097,0.91602725,-1.1784251,-232.91876,418.3325
0.0098,0.37222666,-1.1686362,-239.15672,418.06076
0.0099,-0.24932906,-1.1825964,-245.83078,417.4526
0.01,-0.10116324,-1.2277963,-252.85577,417.02225
0.0101,-0.89810026,-1.2323213,-259.94696,416.41803
0.0102,-0.6915113,-1.3001354,-266.70477,415.7911
0.0103,-1.0836368,-1.2882274,-272.72736,415.36096
0.0104,-1.6982725,-1.2825152,-277.71512,414.68472
0.0105,-1.3981103,-1.3490529,-281.5354,414.07767
0.0106,-1.5917462,-1.3594193,-284.23154,413.6653
0.0107,-1.8963358,-1.3633069,-285.97818,413.06354
0.0108,-1.9461595,-1.3872614,-287.00415,412.5933
0.0109,-2.164288,-1.3992676,-287.513,412.1367
0.011,-2.446431,-1.4107393,-287.63107,411.6444
0.0111,-2.738416,-1.4336122,-287.40097,411.13187
0.0112,-2.5909867,-1.4544356,-286.8204,410.79904
0.0113,-3.3533475,-1.4300652,-285.90842,410.29065
0.0114,-2.976444,-1.4721007,-284.76883,409.89935
0.0115,-3.5069394,-1.4507618,-283.62088,409.62195
0.0116,-3.754025,-1.4298266,-282.7757,409.30203
0.0117,-3.8669815,-1.4247943,-282.5583,408.9772
0.0118,-4.046558,-1.4378511,-283.19467,408.54105
0.0119,-3.9965754,-1.431017,-284.69983,408.36716
0.012,-4.118893,-1.4079973,-286.80774,408.04327
0.0121,-4.345847,-1.3954414,-288.97543,407.68494
0.0122,-2.5615928,-1.4231116,-290.47253,407.36942
0.0123,-1.4163017,-1.4220465,-290.54156,407.20493
0.0124,-0.3267857,-1.3973895,-288.58975,407.0573
0.0125,0.77213824,-1.3984132,-284.3592,406.92346
0.0126,2.1670263,-1.4056705,-278.02295,406.91965
0.0127,2.1846309,-1.3524619,-270.17328,407.09583
0.0128,1.8559817,-1.3348682,-261.6954,407.1265
0.0129,2.2639878,-1.3275832,-253.55516,407.42154
0.013,1.5012504,-1.2618396,-246.55315,407.6548
0.0131,1.8432721,-1.2464743,-241.11263,407.85834
0.0132,1.2986158,-1.2017113,-237.16005,408.08374
0.0133,1.2594941,-1.177077,-234.13466,408.32016
0.0134,0.88730836,-1.1332585,-231.12805,408.57816
0.0135,0.821116,-1.1178902,-227.11826,408.86615
0.0136,0.7593501,-1.0958191,-221.23631,409.29593
0.0137,0.5375345,-1.0733577,-212.99266,409.73105
0.0138,0.54701793,-1.0579681,-202.40215,410.3072
0.0139,0.37789282,-1.0091535,-189.97348,410.9831
0.014,0.044678837,-0.9541553,-176.56744,411.6587
0.0141,-0.09775341,-0.912469,-163.1643,412.3642
0.0142,-0.587184,-0.85763896,-150.60616,413.13086
0.0143,-1.1069546,-0.7917057,-139.3859,413.89664
0.0144,-1.5159259,-0.74762434,-129.54007,414.62427
0.0145,-1.8615918,-0.6896492,-120.67321,415.41925
0.0146,-2.6180608,-0.62372667,-112.10209,416.16183
0.0147,-2.870575,-0.60318327,-103.075905,416.96008
0.0148,-3.4229949,-0.55658925,-93.00658,417.81183
0.0149,-4.109499,-0.50137067,-81.643166,418.6333
0.015,-4.637905,-0.44334936,-69.14149,419.4956
0.0151,-5.2646484,-0.3886236,-56.01241,420.32886
0.0152,-5.627263,-0.32538986,-42.96737,421.19073
0.0153,-4.518661,-0.24963975,-30.709381,422.09637
0.0154,-3.593088,-0.18833628,-19.731907,422.99588
0.0155,-2.8648906,-0.121387295,-10.183828,423.87808
0.0156,-2.3212767,-0.051408116,-1.837383,424.74847
0.0157,-1.5382918,0.0071548685,5.835365,425.6139
0.0158,-0.80948216,0.07424675,13.504051,426.45102
0.0159,-0.06933343,0.12369579,21.789074,427.27753
0.016,0.9429789,0.15727796,31.095276,428.0668
0.0161,1.1770215,0.24124406,41.517555,428.81546
0.0162,2.0973935,0.27897966,52.8422,429.55484
0.0163,2.6894424,0.35483497,64.63811,430.21454
0.0164,2.9657006,0.43447638,76.40504,430.88205
0.0165,3.7572575,0.48254013,87.73069,431.46558
0.0166,3.9773357,0.56146085,98.40765,432.04776
0.0167,4.5135384,0.63139164,108.47634,432.55478
0.0168,4.886814,0.69457054,118.184204,433.03668
0.0169,5.1205564,0.7525458,127.878624,433.45813
0.017,5.806014,0.7930268,137.87077,433.78183
0.0171,5.910868,0.88113564,148.31596,434.03363
0.0172,6.4816456,0.90097505,159.14891,434.32645
0.0173,6.4870453,0.9766578,170.09406,434.40842
0.0174,5.0986133,1.028782,180.74648,434.72705
0.0175,4.946731,1.064448,190.69566,434.74097
0.0176,3.121032,1.1946005,199.65288,434.87225
0.0177,2.9231455,1.2023759,207.54018,435.0131
0.0178,1.7897912,1.2864634,214.51404,434.8576
0.0179,0.19748576,1.3440671,220.91608,434.9889
0.018,0.35154787,1.2976931,227.16747,434.89383
0.0181,-1.4042609,1.4184746,233.6402,434.56317
0.0182,-2.3584921,1.4489361,240.54547,434.58386
0.0183,-1.7408828,1.4480668,247.87213,434.27255
0.0184,-1.7004244,1.516407,255.3926,433.90918
0.0185,-1.1428462,1.5463789,262.73138,433.56033
0.0186,-0.60611814,1.595634,269.47232,433.043
0.0187,-0.68053067,1.6483614,275.26953,432.62122
0.0188,0.122492254,1.6550592,279.92834,432.06485
0.0189,0.012858112,1.705058,283.43347,431.49902
0.019,0.42612845,1.7280278,285.92078,430.98947
0.0191,0.37814125,1.7425836,287.60788,430.45032
0.0192,0.8562307,1.7306802,288.71182,429.90048
0.0193,1.1013286,1.7623371,289.3854,429.20767
0.0194,1.0672473,1.7952213,289.69434,428.67395
0.0195,1.5948844,1.7954227,289.6424,428.04028
0.0196,1.6536566,1.8044726,289.2312,427.46613
0.0197,2.23475,1.7830123,288.5286,426.86707
0.0198,2.1985743,1.7807381,287.71283,426.27554
