Time,IL2,Rede,Bus,HIL0 digital input 29
-0.05,1.2409484,310.88455,400.0,0
-0.049999,1.2412376,310.8893,400.0,0
-0.049998,1.2389226,310.89413,400.0,0
-0.049997,1.2355566,310.8989,400.0,0
-0.049996,1.2320348,310.90372,400.0,0
-0.049995,1.2290765,310.90808,400.0,0
-0.049994,1.2272526,310.9121,400.0,0
-0.049993,1.2270082,310.9162,400.0,0
-0.049992,1.2286829,310.92023,400.0,0
-0.049991,1.2321743,310.92432,400.0,0
-0.04999,1.2357653,310.92834,400.0,0
-0.049989,1.2370682,310.93243,400.0,0
-0.049988,1.2356923,310.93646,400.0,0
-0.049987,1.2332842,310.9405,400.0,0
-0.049986,1.2307291,310.94455,400.0,0
-0.049985,1.2287376,310.94858,400.0,0
-0.049984,1.2278728,310.9527,400.0,0
-0.049983,1.2285733,310.9567,400.0,0
-0.049982,1.2311729,310.9608,400.0,0
-0.049981,1.2354642,310.9648,400.0,0
-0.04998,1.2397738,310.9689,400.0,0
-0.049979,1.2418302,310.97293,400.0,0
-0.049978,1.2410434,310.97632,400.0,0
-0.049977,1.2392356,310.97968,400.0,0
-0.049976,1.2372818,310.98294,400.0,0
-0.049975,1.235884,310.9863,400.0,0
-0.049974,1.235598,310.9896,400.0,0
-0.049973,1.2368566,310.99295,400.0,0
-0.049972,1.2399883,310.99622,400.0,0
-0.049971,1.2446688,310.99957,400.0,0
-0.04997,1.2492933,311.00287,400.0,0
-0.049969,1.2517456,311.00616,400.0,0
-0.049968,1.2511481,311.00952,400.0,0
-0.049967,1.2495364,311.01282,400.0,0
-0.049966,1.247777,311.01617,400.0,0
-0.049965,1.2465644,311.01944,400.0,0
-0.049964,1.2464488,311.0228,400.0,0
-0.049963,1.2478579,311.0261,400.0,0
-0.049962,1.2511165,311.02924,400.0,0
-0.049961,1.2558163,311.03186,400.0,0
-0.04996,1.260329,311.03442,400.0,0
-0.049959,1.2621297,311.03702,400.0,0
-0.049958,1.2617037,311.03955,400.0,0
-0.049957,1.2602075,311.04218,400.0,0
-0.049956,1.2585104,311.0447,400.0,0
-0.049955,1.2573102,311.04733,400.0,0
-0.049954,1.2571595,311.0499,400.0,0
-0.049953,1.2584891,311.05246,400.0,0
-0.049952,1.2614814,311.05505,400.0,0
-0.049951,1.2661988,311.05762,400.0,0
-0.04995,1.269468,311.0602,400.0,0
-0.049949,1.2703756,311.06277,400.0,0
-0.049948,1.269035,311.06537,400.0,0
-0.049947,1.2667513,311.06793,400.0,0
-0.049946,1.2643713,311.07056,400.0,0
-0.049945,1.2625738,311.0727,400.0,0
-0.049944,1.2618961,311.07455,400.0,0
-0.049943,1.2627555,311.0764,400.0,0
-0.049942,1.2651477,311.07822,400.0,0
-0.049941,1.2695764,311.08008,400.0,0
-0.04994,1.2723042,311.0819,400.0,0
-0.049939,1.2724518,311.08377,400.0,0
-0.049938,1.2703092,311.0856,400.0,0
-0.049937,1.2671568,311.08743,400.0,0
-0.049936,1.263862,311.0893,400.0,0
-0.049935,1.2611208,311.09113,400.0,0
-0.049934,1.2594852,311.093,400.0,0
-0.049933,1.2593855,311.0948,400.0,0
-0.049932,1.2608317,311.09665,400.0,0
-0.049931,1.2642632,311.09848,400.0,0
-0.04993,1.266014,311.10034,400.0,0
-0.049929,1.2649482,311.10217,400.0,0
-0.049928,1.2616426,311.10336,400.0,0
