Time,IL1,IL2,Rede,Vbus11
-0.5,-2.3421602,0.7831152,136.12718,408.80457
-0.49998,-2.5516088,0.7598489,134.09843,408.93488
-0.49996,-2.9577556,0.743071,132.11473,409.05548
-0.49994,-3.4195282,0.73430854,130.17221,409.15472
-0.49992,-3.9064746,0.72424144,128.26816,409.25897
-0.4999,-4.0766025,0.7097466,126.39815,409.41162
-0.49988,-4.4835267,0.6988489,124.55457,409.54156
-0.49986,-4.74183,0.6916851,122.7315,409.6679
-0.49984,-4.946853,0.6829923,120.923325,409.78537
-0.49982,-4.937532,0.6645933,119.12577,409.9733
-0.4998,-4.7872934,0.64244163,117.32985,410.139
-0.49978,-4.832859,0.62423587,115.530106,410.27692
-0.49976,-3.7933435,0.606663,113.720795,410.46698
-0.49974,-3.6883898,0.59645957,111.896355,410.6175
-0.49972,-3.7975392,0.5887151,110.052925,410.7749
-0.4997,-3.5810435,0.56824136,108.178604,410.9603
-0.49968,-3.1972218,0.54198235,106.272316,411.13376
-0.49966,-3.052444,0.52356243,104.33027,411.30902
-0.49964,-2.8675258,0.50904435,102.34857,411.47873
-0.49962,-2.507542,0.49675208,100.32553,411.64026
-0.4996,-2.3661153,0.49592906,98.24895,411.79785
-0.49958,-2.4244807,0.5020744,96.12285,411.98215
-0.49956,-2.3090298,0.50336343,93.94648,412.16873
-0.49954,-2.0362709,0.496813,91.718834,412.3481
-0.49952,-1.743161,0.48854035,89.441345,412.53534
-0.4995,-1.5302595,0.4831036,87.10418,412.74585
-0.49948,-1.556598,0.47967649,84.71566,412.91193
-0.49946,-1.147651,0.46532714,82.27826,413.10367
-0.49944,-0.579758,0.4560672,79.79407,413.27643
-0.49942,-0.56249714,0.4667644,77.2678,413.46576
-0.4994,-0.68650085,0.48007384,74.69382,413.654
-0.49938,-0.6025101,0.4812154,72.08271,413.84692
-0.49936,-0.075351804,0.46816966,69.43937,414.0498
-0.49934,0.27645558,0.45968327,66.76836,414.23114
-0.49932,0.34649777,0.45646888,64.07673,414.43893
-0.4993,0.5320814,0.44947198,61.363728,414.62393
-0.49928,0.84359574,0.43833187,58.639492,414.82208
-0.49926,1.2150799,0.42587993,55.909878,414.9969
-0.49924,1.4380329,0.4171367,53.180534,415.22714
-0.49922,1.5692954,0.40960795,50.459328,415.42252
-0.4992,1.7214121,0.39841244,47.74959,415.61188
-0.49918,2.0265777,0.37779507,45.05851,415.7933
-0.49916,2.3728313,0.35247317,42.39117,416.02728
-0.49914,2.8113096,0.32800663,39.75266,416.2248
-0.49912,3.1484249,0.31251392,37.149906,416.39746
-0.4991,3.164852,0.3072954,34.58843,416.57608
-0.49908,3.352305,0.2990168,32.07084,416.79
-0.49906,3.630722,0.28291425,29.599997,416.98233
-0.49904,4.089297,0.25890017,27.179003,417.1665
-0.49902,4.529361,0.2391929,24.812393,417.3337
-0.499,4.582652,0.2314029,22.505405,417.5715
-0.49898,4.752357,0.21758181,20.255821,417.76535
-0.49896,5.285281,0.19484724,18.063486,417.93896
-0.49894,5.655597,0.17749995,15.928701,418.11887
-0.49892,5.670706,0.16762401,13.852887,418.36325
-0.4989,5.570367,0.14882475,11.8387165,418.5543
-0.49888,5.731345,0.12021882,9.880254,418.74066
-0.49886,5.9197545,0.0935327,7.9744563,418.9407
-0.49884,7.694829,0.087329,6.1188145,419.07455
-0.49882,4.4978166,0.18484096,4.311829,419.39557
-0.4988,1.9108404,0.2632349,2.5521393,419.68152
-0.49878,1.8650038,0.22098942,0.83223647,419.88657
-0.49876,3.495243,0.11098726,-0.8528865,420.07098
-0.49874,6.128597,0.04996042,-2.5077348,420.18002
-0.49872,3.488499,0.14272755,-4.135726,420.44952
-0.4987,0.29634678,0.23478362,-5.742516,420.71338
-0.49868,0.20381165,0.19354008,-7.3346806,420.93564
-0.49866,1.7409099,0.07391028,-8.917738,421.1028
