Time,IL1,IL2,Rede,Vbus11,Vpv
-0.49998,-0.63381386,1.1352477,278.46838,428.21213,22.047672
-0.49996,-0.53879213,1.1464914,279.33798,428.26138,22.047054
-0.49994,0.3721925,1.1406534,280.16187,428.07678,22.046415
-0.49992,0.16403992,1.1664603,280.94058,427.89728,22.045725
-0.4999,-0.6256338,1.1929176,281.67474,427.84738,22.044992
-0.49988,0.78419054,1.1909626,282.35916,427.76212,22.044188
-0.49986,0.6760761,1.2223154,283.00156,427.4527,22.043312
-0.49984,0.5277264,1.2749618,283.6031,427.24832,22.042463
-0.49982,-0.64951146,1.3136804,284.16516,427.27393,22.041666
-0.4998,0.37120196,1.2733603,284.6894,427.48508,22.040886
-0.49978,1.6435553,1.227066,285.17233,427.21338,22.040157
-0.49976,1.3227844,1.237612,285.62125,426.9153,22.039444
-0.49974,0.33749846,1.2639328,286.03775,426.79822,22.038654
-0.49972,0.8637335,1.24107,286.42365,426.9167,22.037748
-0.4997,1.7522229,1.2120334,286.7807,426.66736,22.036835
-0.49968,1.4569697,1.2203206,287.10687,426.4476,22.035967
-0.49966,0.6826568,1.2313081,287.40802,426.3857,22.03501
-0.49964,1.5491736,1.196768,287.6856,426.46283,22.033918
-0.49962,2.2595353,1.1775205,287.94113,426.14145,22.032753
-0.4996,1.702122,1.200233,288.176,425.92438,22.031525
-0.49958,0.88176167,1.2154793,288.3888,425.9119,22.030245
-0.49956,2.506463,1.211436,288.5836,425.78998,22.028946
-0.49954,2.0321932,1.2534974,288.76132,425.48273,22.027618
-0.49952,1.6942476,1.3010876,288.92285,425.30374,22.026194
-0.4995,0.83587277,1.3122602,289.06882,425.42514,22.024681
-0.49948,2.9107263,1.280373,289.19778,425.34665,22.023094
-0.49946,2.7620034,1.3011854,289.31235,424.9785,22.021494
-0.49944,2.0196629,1.3312739,289.41278,424.87546,22.019882
-0.49942,1.773652,1.326484,289.49927,424.8985,22.01823
