Harmonic	PI	PR	MR+FF	Rep	PIMR2	Prop+FF	PI+FF	PR+FF	PIMR+FF	PIMR2+FF	Rep+FF
2	0.273	0.154	4.128	0.22	0.136	6.029	0.374	0.955	1.303	0.117	1.229
3	2.884	4.559	0.648	2.055	1.422	2.123	0.393	0.866	0.956	0.943	0.366
4	0.058	0.114	1.5	0.121	0.048	0.896	0.132	0.189	0.240	0.071	0.089
5	2.07	2.810	0.529	1.629	0.789	1.796	0.583	1.134	0.521	0.585	0.459
6	0.099	0.083	0.71	0.160	0.072	0.391	0.211	0.242	0.462	0.046	0.150
7	1.463	1.375	0.244	1.076	0.907	0.480	0.114	0.212	0.304	0.193	0.136
8	0.065	0.056	0.537	0.078	0.078	0.277	0.078	0.087	0.139	0.072	0.079
9	1.406	1.623	0.202	1.236	0.804	0.366	0.067	0.251	0.166	0.157	0.170
10	0.032	0.066	0.423	0.075	0.04	0.150	0.056	0.186	0.096	0.067	0.109
11	1.266	1.143	0.160	0.750	1.083	0.174	0.101	0.119	0.145	0.157	0.141
12	0.08	0.08	0.416	0.08	0.085	0.201	0.051	0.118	0.141	0.050	0.132
13	2.217	1.885	0.232	1.807	1.515	0.438	0.409	0.497	0.209	0.378	0.509
14	0.0138	0.064	0.411	0.112	0.095	0.064	0.082	0.086	0.066	0.052	0.110
15	1.251	1.341	0.190	1.036	0.933	0.354	0.325	0.342	0.352	0.190	0.264
16	0.116	0.122	0.064	0.217	0.197	0.103	0.116	0.094	0.081	0.091	0.08
17	0.744	0.598	0.227	0.477	0.950	0.437	0.333	0.330	0.322	0.329	0.114
18	0.082	0.106	0.05	0.073	0.274	0.163	0.097	0.071	0.07	0.145	0.082
19	0.452	0.217	0.139	0.211	0.1	0.235	0.268	0.150	0.126	0.121	0.144
20	0.114	0.096	0.078	0.130	0.137	0.046	0.055	0.150	0.116	0.060	0.052
21	0.825	0.407	0.202	0.436	0.276	0.251	0.099	0.123	0.200	0.132	0.086
22	0.113	0.075	0.143	0.161	0.102	0.089	0.104	0.118	0.106	0.160	0.104
23	0.740	0.587	0.307	0.591	0.677	0.08	0.402	0.232	0.398	0.187	0.208
24	0.028	0.049	0.104	0.175	0.121	0.056	0.099	0.059	0.129	0.118	0.055
25	0.384	0.314	0.372	0.242	0.185	0.111	0.555	0.243	0.251	0.212	0.115
26	0.054	0.089	0.156	0.125	0.054	0.077	0.119	0.063	0.171	0.084	0.078
27	0.176	0.107	0.631	0.078	0.261	0.233	0.546	0.220	0.424	0.167	0.135
28	0.05	0.062	0.061	0.138	0.120	0.058	0.128	0.035	0.112	0.107	0.082
29	0.246	0.349	0.278	0.167	0.212	0.238	0.567	0.239	0.290	0.210	0.044
30	0.081	0.059	0.139	0.146	0.129	0.086	0.083	0.049	0.06	0.073	0.052

